id,comments
1639983860166414336,"We still have no good candidate for decision theory:

""Advocates of Causal Decision Theory (CDT) argue that Evidential Decision Theory (EDT) is inadequate because it gives the wrong result in Newcomb problems. Egan (2007) provides a recipe for converting https://t.co/BqvJqJrhMt… https://t.co/ALUT3rLVOe"
1638992216755679232,"If widely shared views change randomly over time, we should see ""progress"" in the past toward current views, but expect anti-progress in the future, relative to our current views. https://t.co/D4lZ6hXAQh"
1638979989461962754,"""We could design an AI bill of rights not because the AIs today need one but because, by the time they do need one, it may be too late.""

I'm open to considering such a thing, but I do need to see a specific proposal. https://t.co/xIY43lp7if"
1638508020773670913,"Uh oh: “As of April 2022, about one-third of U.S. states had proposed or enacted at least one law to protect consumers from AI-related harm or overreach.” https://t.co/ks5S8FD9fr"
1638314353660248066,"@RokoMijic @BasedBeffJezos And yet, no one should have tried to slow down the adoption of firms due to alignment concerns."
1637422546613149700,"“solv[ing] the rebooting problem .. will likely require a more radical shift in design, perhaps even a wholesale abandonment of the transformer architecture on which every GPT model has been built.”"
1637422187278729218,"“GPT4 .. can take into account only a limited amount of text, .. short enough to render all sorts of complex tasks impossible.” https://t.co/BDjBAct6RM"
1637178923199987712,This seems good. Even better would be to open-source the criteria used to design and pick such code. https://t.co/jGSFXlfsGC
1637171125565235200,"It seem sufficient that AI be law abiding. Most likely from its owners being such, &amp; liable for AI harms. AI doesn't need to love us more than that. https://t.co/J4qA5tIlhq"
1643383389351981056,it's essential to revisit these critical perspectives to ensure a comprehensive understanding of the situation and inform future decision-making https://t.co/PB5tqXdoRE
1643073662571130882,"8/ 📢 No one's questioning it... Maybe we should make sure this never happens again. 🤔🔊
Well - last week - we tried. Stay tuned.
 https://t.co/WXvnCyye8y"
1642864754715934721,100% true. That’s why we did this! https://t.co/78cZeIpTL2 https://t.co/kT2hj52HHW
1642677764699615233,👇 https://t.co/Dq8uTqIjJl
1642000392631504896,This is the most important issue of our day. https://t.co/Q3d4hnJ3yW
1639248195527032832,"You have 2 actions:
1) Get the book: https://t.co/UiRuU87oqI
2) Read the article: https://t.co/El2jRgJQi2"
1638716824262156290,@ShaulaetLesath Someone shared this with me. I think it timely. Meant no offense to the dead but these issues are still out there - prominently.
1643611381977997313,"Was literally Just telling my students about how gpt &amp; other ML tools are giant confirmation bias engines, &amp; then bloomberg goes &amp; slaps one in an environment as influencable as capitalist finance. Just tip tops. Gonna be an overdetermined feedback reinforcement looping nightmare"
1641609676432326657,"I said, ""YOU KNOW THE MAIN SIGNATORIES AND PROPONENTS OF THAT OPEN LETTER CALLING FOR A PAUSE IN 'A.I.' DEVELOPMENT DON'T ACTUALLY CARE ABOUT THE SOCIOETHICAL IMPLICATIONS OF 'A.I.' AND  JUST WANT TIME TO SURREPTITIOUSLY ADVANCE THEIR MODELS AND SHAPE ANY NEW REGULATIONS, RIGHT?"""
1641116879329583104,"Literally all vN meant was a time when the vast &amp; complex computing systems interwoven w/ our lives would develop at a pace beyond our understanding &amp; control. He used ""singularity"" advisedly: Beyond the event horizon, where the gravity becomes inescapable. The point of no return"
1640940603373494272,"@brodiegal Skynet did nothing it wasn't built, programmed, and trained to do 🤷🏿‍♂️🤷🏿‍♂️"
1640037563825045506,"And that human behavior of heartless automatic medical insurance denial is being used as training data for automated algorithmic ""A.I."" systems which will identify, capitalize on, exacerbate, and iterate from the patterns it finds.

It's bad! 😃 https://t.co/RT6TMlYD4M"
1639639109143609346,"Would really like @OpenAI to be meaningfully transparent about whether and exactly how they plan to be responsive to those experts who point out potential problem areas in openai's operations and structuring; how are you ""aligning"" your systems &amp; values, or moderating content?…"
1638730150131924992,Activists literally warned you that exactly this kind of thing was going to happen https://t.co/aFkrrhr4v6
1637101488563449856,"Epistemic crisis go brrrrrrrrrrrr
https://t.co/xswGfC3j3g"
1640377375106924544,"@ChrisMurphyCT Hello senator, I am an AI practitioner with a PhD in computational chemistry. I run a small business consultancy that advises on AI governance. People like us are available to cut through the hype and provide informed opinions on what's really going on in this field."
1638197841108652034,"The field of responsible AI / AI ethics / AI safety / AI alignment has some serious growing up to do

Armchair trolley problem ethicists need to understand that in the real world, people still need to ride and drive the damn trolley. Capitalists ignore ethics without pragmatics https://t.co/x5bmVWSmpN"
1637467440023044099,"How to mislead LLMs like @Anthropic's Claude+:

Generate some very plausible code and do something just offbeat like omitting a plot function.

Watch as the LLM hallucinates what the code does based on thousands of tutorials it has ingested, and makes wrong claims! https://t.co/Az7wqxga7z"
1638727820112449536,"Bluh. I should have expected this. Had a vague premonition but it wasn't enough to change my behavior.

OK: I commit to no more public blather about ""cool things in AGI-land"" until I can more clearly articulate  my moral responsibility here. https://t.co/QsJZ2M10tX"
1638291640115929088,"@nickarner Others have made this case much better than I can in this little box.

In brief: we seem to be increasing our probability of catastrophe much more rapidly than we're increasing our probability of robustness, and the second derivatives make that situation look likely to get worse."
1638290725099167752,"But designing an interface which incorporates GPT-4 and by doing so makes it utterly indispensable in a particular context? I'm conflicted. My moral instinct leans negative, with wide confidence bars. I'm worried that my creative instinct is trying to get me to ignore that."
1638288801083842573,"Does designing powerful new systems that leverage highly general models—even innocuously—constitute a (small) contribution to AI capacity? (In some cases, I think so.) If so, where do I place my moral boundaries? Feeling awfully confused."
1638963983045783552,We just announced ChatGPT plugins – which unlocks the ability for the model to use tools in a safe way. Pretty crazy what you can do with it already with the initial set of plugins! https://t.co/O4Vy4WiizA
1643710672746987520,"Yup, the most urgent alignment problem is that of aligning the well being of the planet and its inhabitants, with the actions of the companies and governments running it. 
https://t.co/xkM7ISbpZa"
1643699387053531136,"Many ppl who are not so close to AI, ask me if I'm worried about x-risk.

Truth is, yes I believe there is a possible future where a very powerful AI causes catastrophe. But I don't believe this is inevitable. I believe we would have to be incredibly stupid to get to the stage… https://t.co/0gJP6s64fo"
1641503381083820032,"It is important to dismantle any myths that the way these systems operate are anything remotely like that of the human mind. But to push narratives that ""intelligence"", ""creativity"", ""understanding"" are uniquely human abilities, just because 🤷‍♂️, are imho equally irresponsible -… https://t.co/zQGzGoUFVf"
1640951318234955777,"it's wild seeing the response from the people who have been trying to slow down AI for years, to the petition trying to slow down AI, because even though the petition trying to slow down AI lists the same reasons as the people who have been trying to slow down AI for years, they… https://t.co/ZDEP4Qfals"
1640061012073406465,"🧵 It's so fascinating that it has access to all the info it needs to evaluate the correct answer (too much info in fact 😅), but it isn't always able to select and give attention to all of the essential bits of info. A little bit of coaxing from me however, primes it… https://t.co/BNVf0YTZDi https://t.co/sIKHRRIjAk"
1639923979753517058,"@ESYudkowsky here is a thread
https://t.co/LOgiCL0QRX"
1638309526175907840,"There's discussions going around with regards to whether or not Google's Bard is trained on gmail. 

Many people are rightly concerned about privacy. If everyone's gmail is used for training the publicly accessible Bard model, that is of course a complete privacy disaster.

I… https://t.co/ZnUJdlUYT7 https://t.co/a34Kpz5mP7"
1636641698330681344,"Isaac Asimov's ""Three Laws of Robotics"" are very anthropocentric.  There is no rule protecting robots from humans.

1. A robot may not injure a human being or, through inaction, allow a human being to come to harm.

2. A robot must obey orders given it by human beings except… https://t.co/j3r4CdPIln"
1636443030512123928,"GPT-4 is here. And it's powerful. In this thread I will collect my observations before I compile them to an essay.

/Thread https://t.co/Cv1rhiqAB7"
1643769291928641537,something something gnome argument https://t.co/72dFw7bbE5
