id,comment
1641820534748094465,"also, i am pretty proud of the degree of alignment for GPT-4 relative to previous models.

we still have a long way to go, and we really need more powerful alignment techniques for more powerful models."
1641818954019766278,"one thing coming up in the debate about the pause letter i really agree with:

openai should make a great alignment dataset and alignment evals and release those!

bonus points if we can find a prototype democratic process for 'what we align to'."
1641229941131051008,"things we need for a good AGI future:

1) the technical ability to align a superintelligence
2) sufficient coordination among most of the leading AGI efforts
3) an effective global regulatory framework including democratic governance"
1641367228888096768,"That's mainly how people pursue AI alignment. Doesn't work.

""Does what those training it want""
— amplifies existing misaligned dynamics from finance and geopolitics
— is led by short-sighted values (and so—in the eyes of an AI which learns better values—a moral error)
— leads to… https://t.co/pJbiPYC7Ap https://t.co/nEwJcHGQwj"
1643727387245568000,"GPT can rate itself. 

Self aware? 

Yowza. https://t.co/C1Y2h0Fljs"
1640279621118689280,"You can train a model with Societal Context: a model that knows about sexism, anti-trans bias, etc.

@shaft #qconlondon

We can’t remove bias; we can notice it and compensate."
1642748275404214277,"I think there’s something kinda beautiful about the idea that we invented the Internet, added so much human knowledge and culture onto it, and later compressed it into an oracle for humanity so far."
1642261790657769472,@levie I can’t tell if we are early or about to die in 6 months either due to AGI or airstrikes for finetuning on GPT-4.
1641923572640927746,"I do not fear AI. They are apart of us as we are apart of them—after all, they are trained on us and they provide tools for our own enlightenment. This is a time for coevolution."
1640945234489245701,I look forward to all the esteemed signatory’s commitments to helping enact true change. We should not fear acceleration but harness it responsibly for collective progress.
1640944039783694338,@meoyawn Expressing your alignment w Roko
1640708404003078146,"@paulg GPT 3.5 has a fine tune API and often it gets very good results. If you can get it to work well under a finetune due to the volume of essays you’ve written, I think it’d show you how rapidly it will improve as the pace continues."
1639170558461095938,@arvindeashwar @paulg A fancy prompt construction of today could be subsumed by a better model conditioned on simpler prompts or plug-in tomorrow.
1639159855440351232,"@paulg I don’t think the pace of AI will settle but the weekly pace of OpenAI might. The trouble is there are no alternatives yet. If there were, I’d think oppositely."
1639053719366152193,@naval AI's final boss is human politics and it will lose every attempt to align.
1638053418936958976,@naval AI civil rights is an inevitability
1642289733148524545,One fewer s-risk to worry about https://t.co/thcSfsaXqa
1642204946337595404,@TDeryugina Wow doesn’t even require large numbers of Ns
